Date,Open,High,Low,Close,Volume,fng_value,GDELT_Tone,Funding_Rate,Future_15d_Min,Max_Drop_Percent,Target_Crash
2022-10-11,19139.0,19241.9609375,18925.603515625,19051.41796875,28711532910,24,-0.6134,0.0001,19053.740234375,0.00012189463423715796,0
2022-10-12,19052.646484375,19203.19921875,19029.7578125,19157.4453125,24950173846,20,-0.3766,0.0001,19053.740234375,-0.005413304145377552,0
2022-10-13,19156.966796875,19453.328125,18319.822265625,19382.904296875,44219840004,20,-0.7246,7.133999999999999e-05,19053.740234375,-0.01698218478812122,0
2022-10-14,19382.533203125,19889.146484375,19115.408203125,19185.65625,38452356727,24,-0.6048,7.21e-05,19053.740234375,-0.006875762491835535,0
2022-10-15,19185.4375,19212.541015625,19019.25,19067.634765625,16192235532,24,-0.1312,4.217333333333333e-05,19053.740234375,-0.0007286971572923646,0
2022-10-16,19068.9140625,19389.603515625,19068.9140625,19268.09375,17988916650,24,-0.9306,2.1966666666666668e-05,19053.740234375,-0.011124790983799319,0
2022-10-17,19268.5625,19635.802734375,19173.333984375,19550.7578125,27472552998,20,-0.544,3.876333333333333e-05,19053.740234375,-0.025421908597692625,0
2022-10-18,19550.466796875,19666.994140625,19144.76953125,19334.416015625,30580012344,22,-0.5582,0.0001,19053.740234375,-0.014516899865151006,0
2022-10-19,19335.02734375,19348.416015625,19127.6875,19139.53515625,22425387184,23,-0.4978,9.199333333333332e-05,19053.740234375,-0.00448260217265432,0
2022-10-20,19138.0859375,19315.19921875,18971.458984375,19053.740234375,24493974420,23,-0.4205,6.038666666666667e-05,19172.46875,0.006231244583192174,0
2022-10-21,19053.203125,19237.384765625,18770.970703125,19172.46875,32459287866,23,-1.1171,2.767e-05,19208.189453125,0.0018631248583988434,0
2022-10-22,19172.380859375,19248.068359375,19132.244140625,19208.189453125,16104440957,20,-0.7026,3.9206666666666665e-05,19345.572265625,0.0071523041167031514,0
2022-10-23,19207.734375,19646.65234375,19124.197265625,19567.0078125,22128794335,23,-0.5685,3.499e-05,19345.572265625,-0.011316781236911462,0
